sample_size,dataset_id,passed_safety_02,passed_safety_01,passed_safety_005,passed_safety_001,sa_02_accuracy,sa_01_accuracy,sa_005_accuracy,sa_001_accuracy,sa_02_disc_stat,sa_01_disc_stat,sa_005_disc_stat,sa_001_disc_stat
5000,31,True,True,True,False,0.609,0.5128,0.5128,0.5128,0.0823,0.0,0.0,0.0
2500,3,True,True,True,True,0.6952,0.5368,0.5248,0.5248,0.1574,0.0266,0.0,0.0
2500,2,True,True,True,False,0.7604,0.54,0.4844,0.4804,0.1845,0.0544,0.0056,0.0
2500,19,True,True,True,True,0.7396,0.5456,0.5524,0.516,0.1743,0.0368,0.0419,0.0
500,30,True,True,True,True,0.49,0.49,0.49,0.49,0.0,0.0,0.0,0.0
500,49,True,True,True,True,0.564,0.658,0.648,0.51,0.1285,0.2422,0.2319,0.0759
2500,29,True,True,True,True,0.7716,0.5664,0.508,0.508,0.2286,0.0721,0.0,0.0
1000,25,True,True,True,True,0.642,0.556,0.533,0.543,0.1791,0.0345,0.0184,0.0252
5000,4,True,True,True,True,0.7614,0.654,0.7496,0.497,0.2206,0.1819,0.2576,0.0025
500,16,True,True,True,True,0.508,0.502,0.502,0.502,,0.0,0.0,0.0
500,3,True,False,False,False,0.528,0.528,0.528,0.528,0.0,0.0,0.0,0.0
500,20,True,True,False,False,0.498,0.498,0.502,0.502,0.0,0.0,0.0,0.0
2500,30,True,True,True,True,0.7552,0.6292,0.5224,0.518,0.2237,0.0963,0.0151,0.0
5000,6,True,True,True,True,0.6366,0.7312,0.6014,0.4954,0.0697,0.2207,0.1216,0.0
5000,35,True,True,True,False,0.772,0.6862,0.5276,0.4994,0.1789,0.1915,0.0502,0.0
5000,7,True,True,True,False,0.7702,0.7404,0.6002,0.4962,0.1458,0.1975,0.0909,0.0
500,17,True,True,True,True,0.606,0.518,0.518,0.518,0.016,0.0,0.0,0.0
2500,26,True,True,True,True,0.69,0.5252,0.5252,0.5252,0.1795,0.0,0.0,0.0
2500,46,True,True,True,True,0.7424,0.5572,0.518,0.4948,0.1982,0.0616,0.0527,0.0
5000,3,True,True,True,False,0.643,0.4984,0.4984,0.5154,0.0889,0.0,0.0,0.034
5000,41,True,True,True,True,0.7664,0.7164,0.607,0.5026,0.165,0.2148,0.0897,0.0
1000,16,True,True,True,True,0.503,0.503,0.503,0.503,0.0,0.0,0.0,0.0
500,14,True,True,True,True,0.588,0.516,0.516,0.516,0.0363,0.0,0.0,0.0
5000,50,True,True,False,False,0.6544,0.764,0.6758,0.5688,0.0971,0.2211,0.1614,0.057
1000,47,True,True,True,True,0.591,0.495,0.492,0.492,0.1309,,0.0,0.0
2500,16,True,True,True,True,0.7184,0.5356,0.4952,0.4952,0.1535,0.0599,0.0,0.0
2500,20,True,True,True,True,0.7092,0.502,0.5204,0.502,0.1801,0.0,0.0535,0.0
1000,1,True,True,True,True,0.54,0.567,0.542,0.538,,0.0217,,0.0
5000,38,True,True,True,True,0.7668,0.7518,0.6858,0.4982,0.1463,0.161,0.1589,0.0
2500,25,True,True,True,True,0.7444,0.6368,0.5288,0.5068,0.1944,0.1022,0.033,0.0
1000,3,True,True,True,True,0.532,0.532,0.532,0.532,0.0,0.0,0.0,0.0
5000,15,True,True,True,False,0.629,0.5062,0.5062,0.5062,0.0417,0.0,0.0,0.0
2500,18,True,True,True,True,0.7488,0.5428,0.5764,0.5008,0.2245,0.0496,0.072,0.0
2500,23,True,True,True,True,0.7168,0.5308,0.5252,0.5092,0.2069,0.0125,0.0291,0.0
2500,11,True,True,True,True,0.7648,0.6056,0.5152,0.5152,0.1861,0.1045,0.0,0.0
5000,19,True,True,True,False,0.6052,0.741,0.6224,0.5314,0.0917,0.1949,0.0995,0.0516
2500,38,True,True,True,False,0.6656,0.5048,0.5004,0.5004,0.1751,0.0081,0.0,0.0
5000,12,True,True,True,True,0.753,0.7226,0.6072,0.5104,0.1366,0.1855,0.0894,0.0
5000,17,True,True,True,True,0.7682,0.6674,0.5212,0.502,0.158,0.1495,0.0213,0.0
500,44,True,True,True,True,0.54,0.54,0.54,0.54,0.0,0.0,0.0,0.0
5000,23,True,True,True,False,0.775,0.6664,0.5284,0.512,0.2194,0.1699,0.0165,
500,9,True,True,True,False,0.53,0.524,0.524,0.524,,0.0,0.0,0.0
2500,37,True,True,True,False,0.5668,0.5136,0.5136,0.5136,0.0678,0.0,0.0,0.0
1000,29,True,True,True,True,0.473,0.473,0.473,0.473,0.0,0.0,0.0,0.0
500,13,True,True,True,False,0.534,0.476,0.524,0.524,0.1145,0.0,0.0,0.0
2500,8,True,True,True,True,0.7408,0.728,0.5696,0.5052,0.2207,0.2284,0.1191,0.0166
5000,46,True,True,True,True,0.7604,0.5978,0.643,0.5034,0.2037,0.0921,0.1668,0.0
5000,46,True,True,True,True,0.7604,0.5978,0.643,0.5034,0.2037,0.0921,0.1668,0.0
500,45,True,True,True,True,0.64,0.52,0.506,0.512,0.1119,0.0412,0.0,
1000,13,True,True,True,True,0.769,0.62,0.624,0.745,0.1417,0.0233,0.123,0.2396
2500,1,True,True,True,False,0.7584,0.632,0.5196,0.5148,0.1689,0.0846,0.0075,0.0
2500,5,True,True,True,True,0.574,0.5044,0.5044,0.5044,0.0353,0.0,0.0,0.0
500,26,True,True,True,True,0.536,0.792,0.74,0.516,0.0291,0.2442,0.2528,0.0
5000,19,True,True,True,False,0.6052,0.741,0.6224,0.5314,0.0917,0.1949,0.0995,0.0516
500,12,True,True,True,False,0.478,0.478,0.478,0.478,0.0,0.0,0.0,0.0
1000,37,True,True,True,True,0.503,0.503,0.503,0.503,0.0,0.0,0.0,0.0
2500,7,True,True,True,False,0.7632,0.6372,0.5028,0.5028,0.1302,0.1092,0.0,0.0
1000,21,True,True,True,True,0.507,0.507,0.507,0.507,0.0,0.0,0.0,0.0
1000,40,True,True,True,True,0.629,0.591,0.531,0.475,0.0776,0.0782,,0.0
1000,19,True,True,True,True,0.599,0.526,0.648,0.504,0.1533,0.0681,0.2194,0.0
5000,43,True,True,True,False,0.6204,0.5004,0.5004,0.5004,0.0564,0.0,0.0,0.0
5000,50,True,True,False,False,0.6544,0.764,0.6758,0.5688,0.0971,0.2211,0.1614,0.057
500,38,True,True,True,False,0.634,0.5,0.494,0.634,0.0753,,0.0,0.0753
1000,4,True,True,True,True,0.519,0.682,0.519,0.519,0.0,0.204,0.0,0.0
1000,6,True,True,True,True,0.499,0.499,0.499,0.499,0.0,0.0,0.0,0.0
500,22,True,True,True,False,0.498,0.512,0.512,0.512,0.0057,0.0,0.0,0.0
2500,22,True,True,True,False,0.762,0.594,0.4988,0.4988,0.1885,0.1172,0.0,0.0
1000,9,True,True,True,True,0.635,0.508,0.508,0.508,0.1031,0.0,0.0,0.0
500,29,True,True,True,True,0.558,0.526,0.526,0.526,0.0467,0.0,0.0,0.0
5000,5,True,True,True,True,0.7662,0.6178,0.5104,0.4992,0.2158,0.0922,0.03,0.0
2500,30,True,True,True,True,0.7552,0.6292,0.5224,0.518,0.2237,0.0963,0.0151,0.0
1000,17,True,True,True,True,0.503,0.504,0.496,0.496,,,0.0,0.0
500,41,True,False,False,False,0.506,0.506,0.506,0.506,0.0,0.0,0.0,0.0
500,37,True,True,True,True,0.51,0.494,0.508,0.494,0.0196,0.0,0.0112,0.0
